price,toilet_count,heating_type,building_age,building_type,neighborhood,floor,bedrooms,living_rooms,size
1700000.0,2.0,Uygun değil,9.0,Daire,Avcılar,3.0,1,0,105.0
61000000.0,3.0,Yerden Isıtma,9.0,Daire,Üsküdar,1.0,4,1,196.0
45000000.0,2.0,Doğalgaz,9.0,Daire,Üsküdar,3.0,2,0,105.0
44750000.0,2.0,Yerden Isıtma,9.0,Daire,Üsküdar,1.0,3,1,179.0
88000000.0,6.0,Yerden Isıtma,9.0,Daire,Üsküdar,3.0,5,1,295.0
38000000.0,2.0,Yerden Isıtma,1.0,Daire,Üsküdar,0.0,2,1,110.0
3120000.0,3.0,Kat Kaloriferi,10.0,Daire,Esenyurt,3.0,3,1,125.0
4290000.0,1.0,Kombi,7.0,Daire,Bahçelievler,3.0,2,1,90.0
14500000.0,3.0,Kombi,9.0,Daire,Maltepe,4.0,4,2,153.0
13900000.0,2.0,Kombi,9.0,Daire,Maltepe,4.0,4,1,126.0
12000000.0,3.0,Kombi,12.0,Daire,Maltepe,4.0,5,2,178.0
8950000.0,2.0,Kombi,24.0,Daire,Maltepe,1.0,3,1,128.0
4650000.0,2.0,Uygun,9.0,Daire,Pendik,3.0,1,0,105.0
5250000.0,2.0,Uygun,9.0,Daire,Kadıköy,3.0,1,0,105.0
1650000.0,1.0,Kombi,6.0,Daire,Arnavutköy,-1.0,2,1,70.0
2250000.0,1.0,Kombi,6.0,Daire,Arnavutköy,0.0,2,1,10.0
260000000.0,2.0,Kombi,50.0,Residence,Beşiktaş,4.0,3,2,271.0
34000000.0,2.0,Kombi,35.0,Daire,Beşiktaş,2.0,3,1,170.0
82000000.0,2.0,Merkezi (Pay Ölçer),2.0,Residence,Beşiktaş,6.0,2,1,150.0
91000000.0,3.0,Merkezi (Pay Ölçer),9.0,Residence,Beşiktaş,3.0,3,1,160.0
80000000.0,3.0,Merkezi (Pay Ölçer),15.0,Residence,Beşiktaş,3.0,3,1,280.0
12300000.0,1.0,Merkezi (Pay Ölçer),8.0,Residence,Beşiktaş,4.0,1,1,76.0
85000000.0,2.0,Merkezi (Pay Ölçer),6.0,Residence,Beşiktaş,12.0,2,1,141.0
80000000.0,2.0,Merkezi (Pay Ölçer),15.0,Residence,Beşiktaş,20.0,2,1,350.0
8500000.0,2.0,Uygun,9.0,Daire,Kadıköy,3.0,1,0,105.0
95000000.0,2.0,Merkezi (Pay Ölçer),6.0,Residence,Beşiktaş,8.0,2,1,130.0
5950000.0,1.0,Kombi,11.0,Daire,Ataşehir,0.0,2,1,70.0
8050000.0,2.0,Uygun,9.0,Daire,Bahçelievler,3.0,3,0,105.0
6500000.0,2.0,Kombi,9.0,Daire,Büyükçekmece,3.0,3,1,145.0
5575000.0,2.0,Uygun,9.0,Daire,Bahçelievler,3.0,1,0,105.0
8350000.0,2.0,Kombi,9.0,Daire,Maltepe,4.0,2,1,90.0
6500000.0,2.0,Kombi,11.0,Daire,Üsküdar,2.0,2,1,125.0
58500000.0,3.0,Doğalgaz,9.0,Villa,Sarıyer,3.0,5,12,350.0
46350000.0,3.0,Doğalgaz,9.0,Villa,Sarıyer,3.0,4,2,288.0
28500000.0,2.0,Yerden Isıtma,12.0,Daire,Sarıyer,-1.0,3,1,150.0
5600000.0,2.0,Uygun,9.0,Daire,Eyüpsultan,3.0,1,0,105.0
19250000.0,2.0,Kombi,4.0,Daire,Kadıköy,3.0,3,1,88.0
7300000.0,2.0,Merkezi (Pay Ölçer),5.0,Residence,Kağıthane,4.0,2,1,80.0
3330000.0,1.0,Kombi,6.0,Daire,Şişli,1.0,2,1,65.0
10200000.0,1.0,Doğalgaz,9.0,Müstakil Ev,Beykoz,3.0,3,1,90.0
3350000.0,1.0,Kombi,9.0,Daire,Esenyurt,3.0,2,1,100.0
2900000.0,2.0,Kombi,7.0,Daire,Esenyurt,3.0,2,1,80.0
2050000.0,1.0,Kombi,15.0,Daire,Gaziosmanpaşa,-1.0,2,1,85.0
71000000.0,4.0,Doğalgaz,9.0,Villa,Üsküdar,3.0,8,2,450.0
